Date,Time,CO(GT),NO2(GT),AQI_Friction
10/03/2004,18.00.00,2.6,113.0,108.5
10/03/2004,19.00.00,2.0,92.0,86.0
10/03/2004,20.00.00,2.2,114.0,101.0
10/03/2004,21.00.00,2.2,122.0,105.0
10/03/2004,22.00.00,1.6,116.0,90.0
10/03/2004,23.00.00,1.2,96.0,72.0
11/03/2004,00.00.00,1.2,77.0,62.5
11/03/2004,01.00.00,1.0,76.0,58.0
11/03/2004,02.00.00,0.9,60.0,48.0
11/03/2004,05.00.00,0.7,28.0,28.0
11/03/2004,06.00.00,0.7,48.0,38.0
11/03/2004,07.00.00,1.1,82.0,63.0
11/03/2004,08.00.00,2.0,112.0,96.0
11/03/2004,09.00.00,2.2,101.0,94.5
11/03/2004,10.00.00,1.7,98.0,83.0
11/03/2004,11.00.00,1.5,92.0,76.0
11/03/2004,12.00.00,1.6,95.0,79.5
11/03/2004,13.00.00,1.9,112.0,94.0
11/03/2004,14.00.00,2.9,128.0,122.0
11/03/2004,15.00.00,2.2,126.0,107.0
11/03/2004,16.00.00,2.2,131.0,109.5
11/03/2004,17.00.00,2.9,135.0,125.5
11/03/2004,18.00.00,4.8,151.0,171.5
11/03/2004,19.00.00,6.9,172.0,224.0
11/03/2004,20.00.00,6.1,165.0,204.5
11/03/2004,21.00.00,3.9,136.0,146.0
11/03/2004,22.00.00,1.5,85.0,72.5
11/03/2004,23.00.00,1.0,53.0,46.5
12/03/2004,00.00.00,1.7,97.0,82.5
12/03/2004,01.00.00,1.9,110.0,93.0
12/03/2004,02.00.00,1.4,91.0,73.5
12/03/2004,05.00.00,0.6,44.0,34.0
12/03/2004,06.00.00,0.8,71.0,51.5
12/03/2004,07.00.00,1.4,104.0,80.0
12/03/2004,08.00.00,4.4,141.0,158.5
12/03/2004,10.00.00,3.1,122.0,123.0
12/03/2004,11.00.00,2.7,143.0,125.5
12/03/2004,12.00.00,2.1,113.0,98.5
12/03/2004,13.00.00,2.5,116.0,108.0
12/03/2004,14.00.00,2.7,123.0,115.5
12/03/2004,15.00.00,2.9,126.0,121.0
12/03/2004,16.00.00,2.8,120.0,116.0
12/03/2004,17.00.00,2.4,119.0,107.5
12/03/2004,18.00.00,3.9,149.0,152.5
12/03/2004,19.00.00,3.7,145.0,146.5
12/03/2004,20.00.00,6.6,170.0,217.0
12/03/2004,21.00.00,4.4,149.0,162.5
